 Date,NKE Price Target,NKE Price Target - High,NKE Price Target - Low,NKE Price Target - StdDev,NKE Price Target - Median,NKE Open,NKE Low,NKE High,NKE Close,NKE Adj. Close,NKE Rating,NKE Price Target - #,Ticker
07-10-2013,33.09091,40.0,26.5,3.09558,33.75,28.8075536893375,28.54161007055,28.8075536893375,31.8,28.6678206015,3.71429,22,NKE
07-11-2013,33.09091,40.0,26.5,3.09558,33.75,28.93827173925,28.5957002981,29.04645219435,31.86,28.72191082905,3.71429,22,NKE
07-12-2013,33.09091,40.0,26.5,3.09558,33.75,28.681343158387502,28.6182378929125,28.7714935376375,31.835,28.699373234237505,3.71429,22,NKE
07-15-2013,33.09091,40.0,26.5,3.09558,33.75,28.604715336025,28.5100574378125,28.6903581963125,31.675,28.5551326274375,3.71429,22,NKE
07-16-2013,33.09091,40.0,26.5,3.09558,33.75,28.460474729225,28.1584709587375,28.60696909550625,31.35,28.262143894875003,3.71429,22,NKE
07-17-2013,33.09091,40.0,26.5,3.09558,33.75,28.21706870525,28.203546148362506,28.699373234237505,31.665,28.546117589512495,3.71429,22,NKE
07-18-2013,33.09091,40.0,26.5,3.09558,33.75,28.50554991885,28.352294274125,28.748955942825003,31.66,28.54161007055,3.71429,22,NKE
07-19-2013,33.09091,40.0,26.5,3.09558,33.75,28.5100574378125,28.43342961545,28.662411578745,31.675,28.5551326274375,3.71429,22,NKE
07-22-2013,33.09091,40.0,26.5,3.09558,33.75,28.4469521723375,28.32524916035,28.6542980446125,31.645,28.5280875136625,3.71429,22,NKE
07-23-2013,33.09091,40.0,26.5,3.09558,33.75,28.6317604498,28.460474729225,28.658805563575,31.595,28.4830123240375,3.71429,22,NKE
07-24-2013,33.09091,40.0,26.5,3.09558,33.75,28.4830123240375,28.203546148362506,28.5911927791375,31.315,28.2305912621375,3.71429,22,NKE
07-25-2013,33.09091,40.0,26.5,3.09558,33.75,28.2846814896875,28.03676794675,28.3477867551625,31.245,28.167485996662503,3.71429,22,NKE
07-26-2013,33.09091,40.0,26.5,3.09558,33.75,27.9691551623125,27.9601401243875,28.21706870525,31.265,28.185516072512502,3.71429,22,NKE
07-29-2013,33.09091,40.0,26.5,3.09558,33.75,28.0593055415625,28.0593055415625,28.3027115655375,31.355,28.2666514138375,3.71429,22,NKE
